TRACT,RESPNUM_,FIPS,SEX,EDUCATION,AGE,Xcoord0,Ycoord0,Xcoord1,Ycoord1
3150,0073,421010073002,1,3,27,-75.22066049603113,39.94186925995513,-75.223432848881,39.94408646578573
1413,0073,421010073002,1,2,52,-75.22078926151606,39.941148218949095,-75.22226797818882,39.94129896775793
2325,0070,421010070004,1,2,54,-75.22396977951537,39.93616246376545,-75.2235528960732,39.93371900006927
13,0074,421010074008,2,3,50,-75.21618388585019,39.940842673709184,-75.21380435775532,39.93975824917963
2199,0073,421010073002,1,4,52,-75.22238180741412,39.94176463042612,-75.22076168534049,39.94102131004742
2077,0078,421010078005,1,3,50,-75.21373577221347,39.94578874118742,-75.2119356481685,39.948195888440985
32,0078,421010078003,1,2,61,-75.22169853838324,39.947810469564644,-75.21952245186604,39.94605117797298
3012,0071,421010071002,1,3,60,-75.2261225629416,39.93654698798795,-75.22700739170679,39.93764897548764
1543,0071,421010071007,2,2,60,-75.22579984560225,39.942137477487144,-75.22414443024017,39.940919901557905
1549,0074,421010074008,1,3,39,-75.21364042142623,39.94158315617889,-75.2133280275565,39.94100621947361
1605,0070,421010070004,1,2,57,-75.22484744557056,39.9357283664174,-75.22375591036324,39.93566358748303
244,0078,421010078001,1,4,25,-75.21302561821999,39.94592509879585,-75.21060818025458,39.946031055731396
743,0070,421010070001,1,3,48,-75.21903353778981,39.937168073614714,-75.2212045480449,39.937618131686804
1479,0071,421010071002,2,3,53,-75.22412580381976,39.938190561944694,-75.22574572246667,39.93861425151312
319,0071,421010071007,1,2,58,-75.22621096060928,39.942963720923046,-75.22684817829135,39.943867805877744
1795,0074,421010074008,2,3,51,-75.21453393722011,39.941061478905986,-75.21668997489702,39.940681849104564
2900,0072,421010072001,1,4,32,-75.23178015428454,39.94619837164015,-75.23283730621426,39.94587814823313
1641,0078,421010078004,2,5,42,-75.21599781300431,39.94614817680287,-75.21760471831013,39.94536173513913
97,0069,421010069001,1,3,54,-75.20859500658379,39.9343118819132,-75.20782933947271,39.93269420526702
2917,0070,421010070004,1,2,60,-75.22536370404214,39.93524961950095,-75.22426936894499,39.93575099681122
3479,0071,421010071002,1,3,42,-75.2239316305894,39.93769916004438,-75.22305635696003,39.93757429437433
321,0070,421010070004,1,2,60,-75.22420169335979,39.93432752434868,-75.22324873338455,39.93511045685409
1686,0070,421010070005,1,4,73,-75.22074245235338,39.93446425539377,-75.22138526576848,39.934675057080234
2910,0072,421010072006,1,5,42,-75.23727642573056,39.94473013423043,-75.23801737529266,39.94438502214665
2860,0071,421010071007,1,2,55,-75.22392974379771,39.9413982083851,-75.22606699334517,39.94417850872524
2053,0074,421010074005,1,1,46,-75.21240322857705,39.93851669492275,-75.21457261088239,39.936371988868046
3097,0070,421010070004,1,2,48,-75.22284689359309,39.93359103894482,-75.22358544418958,39.93438316896289
950,0078,421010078005,2,3,52,-75.21617673605499,39.94807894373199,-75.21430367144728,39.94832350842653
2611,0069,421010069002,2,1,66,-75.21768932669917,39.931247182439044,-75.21745627556545,39.92851394562618
2569,0078,421010078001,1,1,65,-75.2142644906791,39.945123757684826,-75.21216021657752,39.94522244681761
1411,0071,421010071001,1,3,70,-75.22499664900474,39.939289391891236,-75.22255689890628,39.940784380935014
1369,0072,421010072006,1,1,63,-75.23701258402922,39.944773403092626,-75.23493380360405,39.94392032453572
349,0069,421010069002,1,2,73,-75.21716808942462,39.93106920236542,-75.21632483340512,39.927274779412194
3158,0071,421010071002,1,3,57,-75.22697680646935,39.937554474170305,-75.22497607410547,39.93757045249203
2944,0071,421010071002,1,3,32,-75.22588654751853,39.93713689520018,-75.22346947735417,39.93763184870645
2355,0070,421010070004,1,2,54,-75.22414066594683,39.93594328420927,-75.2247312496715,39.93492055641291
1917,0071,421010071004,1,4,46,-75.22831872177443,39.939632559735735,-75.22910652599126,39.93831283165761
1457,0070,421010070006,1,1,49,-75.22278496530515,39.9364660407779,-75.22102194468795,39.93714656247961
2121,0069,421010069001,1,1,56,-75.21202903124356,39.92722123642303,-75.21562441043002,39.93289674951873
1535,0073,421010073002,2,3,30,-75.22087585737445,39.94114488960919,-75.22419449470178,39.942914028764115
2462,0072,421010072001,2,2,18,-75.22945386523277,39.94601864105029,-75.22998558256307,39.946925540642034
216,0073,421010073002,1,2,38,-75.222716332579,39.9422240882192,-75.2227473041965,39.94252288467015
2477,0073,421010073005,1,1,45,-75.22368854422707,39.945667745595486,-75.22294109263355,39.94429140692325
1539,0078,421010078004,1,5,29,-75.21683398192339,39.94655893421338,-75.2179192909496,39.94757871614954
1476,0070,421010070001,1,3,61,-75.21945807087756,39.93810081475187,-75.21885146246397,39.93745014986132
532,0070,421010070004,1,2,63,-75.22382631118393,39.936087891258715,-75.22476335331409,39.93518655281256
